dt,temp,humidity,wind_speed,rain_1h,snow_1h
1611860400,9.8,93,2.63,0,0
1611864000,10.1,93,2.57,0,0
1611867600,8.99,100,1.54,0,0
1611871200,9.39,93,2.57,0,0
1611874800,8.84,100,1.54,0,0
1611878400,9.55,93,1.54,0,0
1611882000,10.81,100,2.37,0,0
1611885600,10.99,100,1.54,0,0
1611889200,10.05,100,2.06,0,0
1611892800,11.42,93,4.04,0.42,0
1611896400,11.37,100,1.03,0.33,0
1611896400,11.37,100,1.03,0.33,0
1611900000,11.86,94,2.06,0,0
1611903600,11.93,100,1.54,0,0
1611907200,11.93,100,5.14,0.88,0
1611910800,11.85,100,4.63,0.88,0
1611914400,12.54,94,4.63,0,0
